Restaurant,Discount,TDC,Cuando,Comuna,Ends

Anima Cocktail Bar - Descuento,40%,Bci,Jueves,Providencia,01/06/2026

Augusta Bar,40%,Bci,Jueves,Concepciæn,01/06/2026

Augusta Bar,20%,Bci,Jueves,Concepciæn,01/07/2026

Cambalache,40%,Bci,Jueves,Puerto Varas,01/07/2026

China 365,20%,Bci,Jueves,Santiago (RM),30/06/2026

ConserBar,40%,Bci,Jueves,Santiago (RM),01/07/2026

Cuerovaca,40%,Bci,Jueves,Vitacura,01/07/2026

De Barrio,30%,Bci,Jueves,Santiago (RM),01/06/2026

Fat Kid - Descuento,40%,Bci,Jueves,Santiago (RM),01/07/2026

Fuegos de Raidho,40%,Bci,Jueves,Talca,01/07/2026

Gaucho,40%,Bci,Jueves,Vi±a del Mar,01/06/2026

G≥eros,30%,Bci,Jueves,Santiago (RM),01/07/2026

Hijo del Inca - Descuento,40%,Bci,Jueves,Santiago (RM),01/07/2026

Kechua,30%,Bci,Jueves,Providencia,01/07/2026

La Biferia,20%,Bci,Jueves,Providencia,01/07/2026

La Caperucita y el Lobo,40%,Bci,Jueves,Santiago (RM),01/06/2026

La Cocina de Javier,50%,Bci,Jueves,Vitacura,01/07/2026

La Mulata,40%,Bci,Jueves,Iquique,01/07/2026

La Parrilla del Guaton Jerez,40%,Bci,Jueves,Vitacura,01/06/2026

La Parrilla del Guaton Jerez,40%,Bci,Jueves,Vitacura,01/07/2026

Lebol,40%,Bci,Jueves,Concepciæn,01/07/2026

Majestic,30%,Bci,Jueves,Vitacura,01/07/2026

MaliZioso Pizzer›a,40%,Bci,Jueves,Valpara›so,01/06/2026

Marriott,50%,Bci,Jueves,Las Condes,01/07/2026

Restaurante Rep∑blica  de Arica,20%,Bci,Jueves,Arica,01/07/2026

Rogusta,20%,Bci,Jueves,Valdivia,01/07/2026

Starburger,20%,Bci,Jueves,Santiago (RM),01/07/2026

Sushi & Burger Home,40%,Bci,Jueves,Vi±a del Mar,01/07/2026

Tigre Bravo,40%,Bci,Jueves,Santiago (RM),01/07/2026

Wayna - Descuento,40%,Bci,Jueves,Santiago (RM),01/07/2026

Wayna - Descuento,20%,Bci,Jueves,Santiago (RM),01/07/2026



Restaurant,Discount,TDC,Cuando,Comuna,Ends,TipoComida

The Top Pizza,20%,CMR,Todos los dias,Nacional,07/06/2026,

D›a de la hamburguesa cmr puntos,1%,CMR,Todos los dias,Nacional,28/05/2026,

Cantina Varas,40%,CMR,"Lun, Mar, Mie, Jue, Vie, Sab",Santiago (RM),31/05/2026,

Anima Cocktail Lab,40%,CMR,"Mie, Jue, Sab",Santiago (RM),31/05/2026,

Berl›n Doner Kebab,40%,CMR,"Lun, Mar, Jue",Santiago (RM),31/05/2026,

De Barrio,40%,CMR,"Lun, Mar, Mie, Jue",Santiago (RM),31/05/2026,

Enrique Tomﬂs,40%,CMR,"Lun, Mar, Mie, Jue, Vie",Santiago (RM),31/05/2026,

Mooi,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

Frida Kahlo,40%,CMR,"Lun, Mar, Mie, Jue, Dom",Santiago (RM),31/05/2026,

Muu grill,40%,CMR,Todos los dias,RM / Valparaiso,31/05/2026,

Cabrera al Paso,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

Tanta,40%,CMR,Todos los dias,RM / Valparaiso,31/05/2026,

El japones,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

Mamma mia,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

La piazza,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

La patrona,40%,CMR,"Lun, Mar, Mie, Jue",Santiago (RM),31/05/2026,

Paris texas,40%,CMR,"Lun, Mar, Mie, Jue",Santiago (RM),31/05/2026,

Take a wok,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

La sanguchera del barrio,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

Ekeko,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

Badass,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

Vendetta,40%,CMR,"Lun, Mar, Mie, Jue",Santiago (RM),31/05/2026,

Milﬂ,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

Jalisco,40%,CMR,Todos los dias,Santiago (RM),31/05/2026,

Barra Chalaca,40%,CMR,Todos los dias,RM / Valparaiso,31/05/2026,

Udon,40%,CMR,"Lun, Mar, Mie, Jue, Vie",Santiago (RM),31/05/2026,

